razao_social;cnpj
R J COMERCIO VAREJISTA DE GAS LTDA;2,92964E+13
RL COMERCIO VAREJISTA DE GAS LTDA;09619604000195
R L G COMERCIO VAREJISTA DE GLP LTDA;4,0792E+13
R LUCAS MELO DE SOUSA LTDA;03512579000160
ROBERTO G MAIA;3,74961E+13
ROGERIO R DE LIMA COMERCIO DE GAS;3,77554E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SANTANA COMERCIO DE GAS LTDA;1,83596E+13
SAO JOAO GAS LTDA;05464545000172
SAO MATHEUS COMERCIAL DE GAS LTDA;1,04049E+13
SAO MATHEUS COMERCIAL DE GAS LTDA;1,04049E+13
SAO MATHEUS COMERCIAL DE GAS LTDA;1,04049E+13
SAO MATHEUS COMERCIAL DE GAS LTDA;1,04049E+13
SELMA TRIGUEIRO AGUIAR;2,75117E+13
SILVEIRA COMERCIO DE GAS LTDA;07185356000196
SIQUEIRA GAS LTDA;07632893000137
SOMA COMERCIO DE GAS LTDA;4,72245E+13
SPINDOLA GAS LTDA;02550672000104
SPINDOLA GAS LTDA;02550672000287
SUPER JOTA P COMERCIAL DE GAS LTDA;1,16524E+13
SUPER JOTA P COMERCIAL DE GAS LTDA;1,16524E+13
SUPER JOTA P COMERCIAL DE GAS LTDA;1,16524E+13
TOTALGAS COMERCIO DE GAS LTDA;08201900000109
UCHOA COMERCIO DE GAS LTDA;05646748000422
UCHOA COMERCIO DE GAS LTDA;05646748000180
UCHOA COMERCIO DE GAS LTDA;05646748000856
UCHOA COMERCIO DE GAS LTDA;05646748001151
UCHOA COMERCIO DE GAS LTDA;05646748001070
UCHOA COMERCIO DE GAS LTDA;05646748000694
UCHOA COMERCIO DE GAS LTDA;05646748000260
UCHOA COMERCIO DE GAS LTDA;05646748000341
V DE PAULO MAGALHAES FILHO COMERCIO DE GAS LTDA;1,05874E+13
VICOSA COMERCIO DE GAS LTDA;05581887000253
VICOSA COMERCIO DE GAS LTDA;05581887000172
VITAL COMERCIO VAREJISTA DE GLP LTDA;4,85417E+13
VITORIA COMERCIO VAREJISTA DE GLP LTDA;03620926000178
V PINHEIRO DE QUEIROZ EIRELI;06026402000141
W H COMERCIO DE GAS LTDA;03203216000142
A A ARAUJO LTDA;06420715000260
A CARLOS ALVES DE SOUSA;2,13189E+13
A D N SILVA DISTRIBUIDORA LTDA;5,68237E+13
A DO NASCIMENTO BARRETO;1,01954E+13
A J F DOS SANTOS LTDA;1,69854E+13
A LEOMARQUE PEREIRA SILVA LTDA;4,38972E+13
A LIMA MARTINS E CIA LTDA;01972305000128
AMAZONIA CONSTRUCOES E COMERCIO LTDA;4,08096E+13
A P ASSUNCAO ARAUJO LTDA;3,06705E+13
A P ASSUNCAO ARAUJO LTDA;3,06705E+13
A RIBEIRO CARNEIRO LTDA;2,47929E+13
A RIBEIRO CARNEIRO LTDA;2,47929E+13
A S RODRIGUES COMERCIO DE GAS;2,73576E+13
AUTO POSTO HP LTDA;07972505000167
AUTO POSTO NOELE LTDA;05656843000326
AUTO POSTO NOELE LTDA;05656843000679
AUTO POSTO VANS LTDA;4,264E+13
A V A REVENDEDORA DE GAS E BEBIDAS LTDA;06346650000170
BENTO DINIZ MAMEDES LIMA;1,18068E+13
BIG GAS LTDA;4,35473E+13
BIG GAS LTDA;4,35473E+13
BIG GAS LTDA;4,35473E+13
BOA VISTA GAS LTDA;04817016000142
C A PESSOA DE MORAES;2,32093E+13
CARLOS ALVES DE MOURA E CIA LTDA;1,19774E+13
CARONE COMBUSTIVEIS LTDA;2,30377E+13
CARONE COMBUSTIVEIS LTDA;2,30377E+13
CARONE COMBUSTIVEIS LTDA;2,30377E+13
CENTERGAS COMERCIO VAREJISTA DE GAS LTDA;06165921000190
C F BANDEIRA CARVALHO;1,29202E+13
CHAMA DISTRIBUIDORA DE GAS LTDA;1,21433E+13
CHAMA GAS LTDA;06759181000110
CHAMA GAS LTDA;06759181000200
C L DISTRIBUIDORA LTDA;4,01832E+13
C L DISTRIBUIDORA LTDA;4,01832E+13
COMERCIAL CIDADE LTDA;6,34332E+13
COMERCIAL CIDADE LTDA;6,34332E+13
COMERCIAL CIDADE LTDA;6,34332E+13
COROADINHO GAS GLP LTDA;2,79208E+13
C R C BARROSO E CIA LTDA;1,88219E+13
C R C BARROSO E CIA LTDA;1,88219E+13
C R C BARROSO E CIA LTDA;1,88219E+13
DG DISTRIBUIDORA DE GAS LTDA;1,01421E+13
DM CARVALHO COMERCIO E TRANSPORTES LTDA;3,45178E+13
DOMINGOS DE JESUS CAMPOS MARTINS;4,11662E+13
E C V MELO COMERCIO;1,73351E+13
EDIVALDO FRANCISCO COSTA LIMA JUNIOR EIRELI;3,63804E+13
E L DE SOUSA COMERCIO E CONSTRUCAO;04437944000181
E P SILVA;07635861000195
E R GOMES;06250424000352
E R GOMES;06250424000190
E R MOURA COMERCIO E SERVICOS;4,1171E+13
FABRICIA COSTA DA SILVA LISBOA;3,8094E+13
FAZENDAS MAGNOLIA LTDA;06365969002510
FAZENDAS MAGNOLIA LTDA;06365969001890
FAZENDAS MAGNOLIA LTDA;06365969002781
FAZENDAS MAGNOLIA LTDA;06365969002358
F B LEAL COMERCIO E CIA LTDA;08817360000192
