razao_social;cnpj
DOIS IRMAOS PG AGUAS LTDA;2,96645E+13
DOUGLAS HENRIQUE PIMENTA GAS;1,05591E+13
D R S COMERCIO DE GAS LTDA;5,26406E+13
EDEN GAS LTDA;08401772000147
EDSON ARLEI BUENO DA SILVA;1,14745E+13
EDSON GILMAR UNGLAUB E CIA LTDA;9,62382E+13
EDSON OIA;7,18883E+13
EDUARDO JOSE SOARES GAS;06114858000163
EF DE SOUSA COMERCIO DE GAS;2,67792E+13
EJF DISTRIBUIDORA DE GLP LTDA;4,59535E+13
E J NASCIMENTO E M L SILVA COMERCIO DE GAS LTDA;7,42328E+13
ELIZABETE TOMAZ BARBOSA;1,0438E+13
EUNICE MORAES DE FREITAS;1,30354E+13
FABIANO PINHEIRO DA SILVA COMERCIO DE GAS GLP LTDA;4,68387E+13
FABRICIO PEREIRA PAIVA ITU;2,00862E+13
F E F PONS LTDA;2,06748E+13
FERNANDO E FERNANDO RIBEIRO COMERCIO DE GAS LTDA;1,03411E+13
FRANCISCO DE OLIVEIRA VOTORANTIM;6,24854E+13
GARCIA GAS EIRELI;1,9055E+13
GAS AVENIDA LTDA;5,12378E+13
GASCONFI DISTRIBUIDORA GAS LTDA;2,37613E+13
GAS GOLFINHO COMERCIO DE GLP LTDA;1,7809E+13
GB COMERCIO E DISTRIBUIDORA DE GAS LTDA;5,53246E+13
GENEZIO MOMBERG PLENS GUAREI;01589640000141
G GAS COMERCIO E TRANSPORTE LTDA;2,50722E+13
GH GRANADO DE SOUZA LTDA;01294510000181
GILSON GOMES DOS SANTOS GAS;4,78844E+13
GJGG COMERCIO DE GAS LTDA;2,72341E+13
GJGG HORTOLANDIA COMERCIO DE GAS LTDA;1,99381E+13
GUACUGAS COMERCIO E DISTRIBUIDORA DE GAS EIRELI;1,13224E+13
GUARACI VANDERLEI NEVES;1,68313E+13
GUILHERME BRITO GAS LTDA;5,56696E+13
GUILHERME GAS LTDA;5,52751E+13
GUILHERME KUHL GOMES;3,5002E+13
HANJHO COMERCIO DE GAS E AGUA LTDA;1,20502E+13
ITALY GAS E AGUA LTDA;2,63539E+13
IVAN BARRIOS DE TOLEDO;5,46581E+13
IVANETE SALOTTI GUARDABAXO;7,19103E+13
IVANI AGUIAR BARBOSA;03005100000107
J A COMERCIO DE GAS E AGUA LTDA;5,14534E+13
J A COMERCIO DE GAS E AGUA LTDA;5,14534E+13
J B DA SILVA GAS E AGUA;3,36771E+13
J B L COMERCIO DE GAS E AGUA LTDA;5,27823E+13
J D GAS LTDA;09474304000165
JEAN CARLOS GARCIA E CIA LTDA;04649526000158
JG GAS E AGUA LTDA;5,5123E+13
JI DE OLIVEIRA MOURA GAS E AGUA;5,37495E+13
J J DOS SANTOS COMERCIO DE GAS;2,33032E+13
JOAO BATISTA LONGO;6,91574E+13
JOAO DO GAS COMERCIO DE GLP LTDA;1,03307E+13
JOHNY HENRIQUE ARAUJO E CIA LTDA;2,34127E+13
JOSE AILTON DE ARAUJO;2,80948E+13
JOSE CAETANO DA LUZ FULANETE LTDA;4,96418E+13
JOSE JUILISMAR DOS SANTOS DE SOUZA 01358246483;1,76309E+13
JOSE LUIS DE OLIVEIRA ALVES GAS;09066446000193
JOSE NASCIMENTO PIMENTEL;00183045000149
JOSIAS FIGUEIREDO COMERCIO DE GAS LTDA;5,71618E+13
J P DO NASCIMENTO;2,11114E+13
J.R.DEPOSITO DE GAZ LTDA;01428294000110
JR PRUDENCIO LTDA;05404658000182
J R SANT ANNA E CIA LTDA;7,30148E+13
JULIA GABRIELLE RAGAZZI COELHO EIRELI;3,01961E+13
JVGAS COMERCIO DE GAS LTDA;2,27815E+13
KINCHAGACHEVIL ALVES PINHEIRO;04834643000191
LAGOA COMERCIO DE GAS E AGUA LTDA;3,73351E+13
LAGOA COMERCIO DE GAS E AGUA LTDA;3,73351E+13
LAGOA COMERCIO DE GAS E AGUA LTDA;3,73351E+13
LEAL E PRADO GAZ E AGUA LTDA;5,28053E+13
LEANDRO APARECIDO SQUARCA;4,76316E+13
LEANDRO BATISTA PASSAGNOLO;1,03183E+13
LEILA RAQUEL M B GONCALVES;01777324000101
LETICIA COMERCIO DE GAS LTDA;3,04288E+13
L F DE OLIVEIRA MELO;4,27341E+13
LIDER GAS IPERO LTDA;3,16287E+13
LILIANE DE OLIVEIRA SILVA CAMPOS;4,21093E+13
LINO COMERCIO DE GAS LTDA;08330152000164
LOPES E NASCIMENTO COMERCIO DE GAS E AGUA LTDA;3,58256E+13
LOPES E NASCIMENTO COMERCIO DE GAS E AGUA LTDA;3,58256E+13
LOPES E PINHEIRO COMERCIO DE GAS LTDA;1,7803E+13
LOUVEIRA COMERCIAL V M C LTDA;04310899000108
LUCIANE APARECIDA DEFANTE ROCHA;1,05811E+13
LUIS ANTONIO MANOEL COMERCIO DE GAS;3,62951E+13
LUIS OTAVIO FONSECA DE ARAUJO;07002081000108
LUIZ CARLOS CASSIMIRO DE SOUZA;2,97674E+13
LUIZ CARLOS RIGORINI;1,03492E+13
LUIZ CARLOS ROCHA GAS E AGUA LTDA;4,10432E+13
MANOEL APARECIDO SILVA LIMEIRA GAS;02582231000186
MARCIO ROBERTO TACAO;1,74099E+13
MARCO ANTONIO GIORGETTE LTDA;04674632000272
MARCO ANTONIO GIORGETTE LTDA;04674632000191
MARIA DA CONCEICAO FERREIRA DA SILVA GAS;1,248E+13
MARIA DE J B DOS S SOARES;2,76749E+13
MARIA DE J B DOS S SOARES;2,76749E+13
MARIA NANCY BRILHANTE DE FRANCA;07506881000166
MARTA DIAS RIBEIRO;1,96851E+13
MASSONI DISTRIBUIDORA DE GAS E AGUA LTDA;5,34054E+13
MASSONI GAS E AGUA LTDA;5,41327E+13
MAXIMINO PEREIRA XAVIER DISTRIBUIDORA DE GAS;5,22024E+13
MERCADO TRES IRMAOS ABREU LTDA;08531538000134
MESSIAS E TRINCA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;1,66856E+13
MESSIAS GRIZANTE;2,4104E+13
METAL COMERCIO DE GAS LTDA;4,66005E+13
METALSOLDAS COMERCIO DE EQUIPAMENTOS LTDA;02813955000193
M.L. SILVA VIOLETTI;06789282000134
MOACIR FURTADO;09549951000199
MONDINI E IEKER COMERCIO LTDA;05066655000186
MORAIS COMERCIO DE GAS E AGUA SOROCABA LTDA;02399581000101
MRGAS COMERCIO E TRANSPORTE LTDA;08379543001064
MULTIGAZ PIRACICABA COMERCIO DE GAS LTDA;1,02542E+13
NEI MAR PRODUTOS ALIMENTICIOS LTDA;6,27859E+13
NEKKO COMERCIO DE GAS LTDA;07150983000191
N E N CYRINEU LTDA;4,54378E+13
NILSON ALVES DOS SANTOS GAS;03298289000165
NOGUEIRA E LIMA GAS LTDA;4,28673E+13
NOSSO GAS SAO ROQUE COMERCIO DE GAS E BEBIDAS;3,40566E+13
NOVO GAS COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA;4,01506E+13
NUCIANO PEREIRA DE ARAUJO;03848052000100
PARK COMERCIO DE GAS LTDA;05875485000180
PAULO S S DA SILVA;1,83711E+13
PEREIRA E ANDRADE COMERCIO DE AGUA LTDA;05996106000100
PEREIRA E SILVA COMERCIO DE GAS LTDA;1,43167E+13
PERUCCI COMERCIO DE GAS E MINIMERCADO LTDA;5,20176E+13
PET FORT COMERCIO DE RACAO E TRANSPORTES LTDA;05439541000134
PETROGAZ PIRACICABA COMERCIO DE GAS LTDA;1,89754E+13
P G DISTRIBUIDORA LOUVEIRENSE LTDA;04438319000154
PH COMERCIO DE GAS E AGUA LTDA;4,85105E+13
PINHALGAS E AGUA LTDA;2,18962E+13
P J DOS SANTOS;04747222000123
POCOS GAS LTDA;06322571000390
POLGAS DISTRIBUIDORA DE GAS LTDA;1,02297E+13
PORTUGAL COMERCIO DE GAS LTDA;09475952000136
PRADO DISTRIBUIDORA LTDA;1,88451E+13
PRIMAVERA DEPOSITO DE GAS LTDA;2,23981E+13
QUESIA MARMOL RODRIGUES DIAS;2,46812E+13
RAFAEL PINTO DE CARVALHO GAS E BEBIDAS;4,89912E+13
R D COMERCIO DE GAS E TRANSPORTE LTDA;2,66815E+13
R E G COMERCIO VAREJISTA DE GAS LTDA;5,21451E+13
RENAN DO NASCIMENTO;3,76558E+13
REVENDEDORA DE GAS PIRACICABANA LTDA;4,56749E+13
R F S COMERCIO VAREJISTA DE GLP LTDA;3,61057E+13
RIBEIRO COMERCIO DE GAS LTDA;3,75549E+13
RITA CACILDA DO PRADO GAS;05698536000146
RITA LUCIA DOMICIANO TARDIOLI;2,68919E+13
RIVERITO GONCALVES;3,16067E+13
R NUNES AGUAS;04373579000199
RODRIGO THIAGO CASTILHO LTDA;5,67061E+13
RODRIGUES MORAES E CIA LTDA;1,0681E+13
ROGERIO FERREIRA DE LIMA;2,16487E+13
ROGERIO LUIZ DA SILVA TIETE;4,36374E+13
ROGERIO PAULO DE OLIVEIRA 26107224866;2,76401E+13
ROSSINI THAME DISTRIBUDORA E TRANSPORTADORA LTDA;5,02193E+13
RRJ DISTRIBUIDORA DE GAS LTDA;1,69951E+13
RUBENS JOAO ORTIZ GAS;09643197000151
RUBENS SOARES DO NASCIMENTO;07894618000191
S A DE MELLO S FREITAS COMERCIO DE GAS E AGUA;4,28696E+13
SAMU GAS E AGUA LTDA;4,6106E+13
SANCAGAS COMERCIO DE GAS LTDA;5,57172E+13
SANDRA REGINA DE OLIVEIRA SANTOS;09302020000191
SANDRINI E PASSAGNOLO COMERCIO DE GAS EIRELI;1,99476E+13
SAO CRISTOVAO COMERCIO DE GAS LTDA;1,24713E+13
SARTORI E SARTORI IMPORTACAO E EXPORTACAO LTDA;1,23681E+13
SERGIO ADRIANO BRANDAO GIL;04559485000290
SERGIO LUIZ SILVA;3,46743E+13
SERVGAS SANTA BARBARA DISTRIBUIDORA DE GAS LTDA;3,60564E+13
SIDINEY GONCALVES DIAS 30093797818;2,09979E+13
SOLANGE CAMPOS DE ALMEIDA YANASE DEPOSITO DE GAS;2,91521E+13
SOUZA COMERCIO DE GAS E BEBIDAS LTDA;5,28266E+13
S S GAS E AGUA LTDA;5,5267E+13
ST COSMO COMERCIO DE GLP LTDA;4,92858E+13
SUMARE COMERCIO DE GAS S O S LTDA;03869498000111
SUPERMERCADO GOMES GUAGLIOTO LTDA;01482796000129
SUPERMERCADO MONTICO LTDA;5,9185E+13
T D V COMERCIO DE GAS;4,305E+13
TERESA DONIZETE PINHEIRO GALASSI;04933121000147
TIC TAC GAS LTDA;5,11335E+13
VALDECY DE SOUSA BORGES GAS;07352236000136
VALDEMIR NIVALDO BALDUINO;7,46908E+13
VALDEMIR RIBEIRO DA SILVA GAS;05240720000148
VAL GAS COMERCIO LTDA;03684533000128
VALIGAS COMERCIO DE GLP VALINHOS LTDA;00170009000140
VANDER GAS PORTO FELIZ LTDA;3,63922E+13
VANUSA URBANO DE SOUZA;09484618000149
V DE SOUZA JUNIOR;1,43408E+13
V F S COMERCIO DE GAS LTDA;08210961000302
V F S COMERCIO DE GAS LTDA;08210961000485
V F S COMERCIO DE GAS LTDA;08210961000132
VH COMERCIO E DISTRIBUIDORA DE GAS LTDA;5,27864E+13
VH COMERCIO E DISTRIBUIDORA DE GAS LTDA;5,27864E+13
VICENSIO GAS LTDA;05306043000113
VIVIANE APARECIDA GUIMARAES MOREIRA;2,16239E+13
VONILDA DO CARMO PEREIRA COMERCIO DE GAS;4,05863E+13
VSS COMERCIO DE GAS LTDA;05944068000142
WEG GAS E AGUA LTDA;5,35669E+13
WJGAS COMERCIO DE GAS LTDA;08617798000127
W L COMERCIAL LTDA;5,29067E+13
YPE COMERCIO DE GAS LTDA;2,06398E+13
Y S GAS LTDA;4,87953E+13
ADAILTON RODRIGUES DOS SANTOS PASSOS;2,86123E+13
A E DE ASSIS LTDA;4,7756E+13
AERO GAS LTDA;1,92703E+13
AFGL COMERCIO DE GAS LTDA;4,27895E+13
AGENOR NOGUEIRA SOBRINHO;1,08237E+13
AGNALDO APARECIDO DO COUTO LTDA;04519677000191
AGUA BELA GAS TRANSPORTADORA LTDA;1,10758E+13
AGUA E GAS BOM JESUS LTDA;3,48435E+13
ALLO GAS LTDA;4,69173E+13
ALMEIDA GAS LTDA;2,66922E+13
ALMEIDA GAS LTDA;2,66922E+13
ALMEIDA GAS LTDA;2,66922E+13
ALMEIDA GAS LTDA;2,66922E+13
ALPHA COMERCIO DE GAS LTDA;05155473000181
ANDREIA APARECIDA GOMES CINTRA;2,93972E+13
ANGELITA DA SILVA LTDA;2,28245E+13
ANTENOR SILVA DE ANDRADE;4,81862E+13
ANTONIO E BARBOSA COMERCIO DE GAZ LTDA;3,72203E+13
ANTONIO SCHULZE MACHADO JUNIOR LTDA;5,14215E+13
ANTONIO SOARES DA SILVA FILHO LTDA;4,32553E+13
APARECIDO DISTRIBUICAO EIRELI;3,27531E+13
A P G A SILVA LTDA;2,68576E+13
ARMANDO MONTEIRO DE SOUSA - ME;01510401000154
AVANICE MOREIRA DO NASCIMENTO;1,69783E+13
BARSA BEER COMERCIO DE BEBIDAS LTDA;1,83162E+13
B E J COM LTDA;1,43949E+13
BELINHA COMERCIO DE GAS LTDA;3,37912E+13
BENTO E OLIVEIRA DISTRIBUIDORA DE AGUA E GAS LTDA;4,24069E+13
BRASA FORTE DISTRIBUIDORA DE GAS LTDA;4,5447E+13
BRUNO RONNIERI SILVA DOMINGUES;1,90376E+13
B S COMERCIO VAREJISTA DE GAS LTDA;4,22504E+13
BURITI COMERCIO DE GAS LTDA;6,0215E+13
C A DUARTE LTDA;3,53415E+13
CALIFORNIA COMERCIO DE GAS EIRELI;3,7685E+13
CAMPEAO GAS E MERCEARIA EIRELI;1,55324E+13
CAMPEAO GAS LTDA;2,14231E+13
CANAA COMERCIO DE GAS GLP LTDA;2,83126E+13
CARDOZO E BITES LTDA;09079220000127
CARLOS P DA SILVA;3,82526E+13
CARLOS RIBEIRO E SILVA;1,12633E+13
CARVALHO MERCEARIA E DISTRIBUIDORA DE GAS E BEBIDAS LTDA;3,96595E+13
C ELIAS DA SILVEIRA EIRELI;01851765000106
CELMA BATISTA PEREIRA;3,31332E+13
CEMI BARBOSA DA COSTA;05764541000100
CENTRAL COMERCIO DE GAS LIQUEFEITO LTDA;4,45646E+13
CHAGAS DISTRIBUIDORA DE GAS E AGUA LTDA;5,03417E+13
CHAMA GAS ATACAREJO LTDA;2,51914E+13
CHAMA GAS LTDA;08453109000196
CHAMA VIVA GAS LTDA;05560294000120
CICERO TEODORO DA SILVA;2,37045E+13
CITY GAS LTDA;4,93398E+13
CLARA GAS REVENDA LTDA;2,13316E+13
CLEBIO LEONIDAS DE SOUSA GAS;04839666000199
CLENEMAR JOSE FERREIRA;00388973000140
CLEONETE GOMES ALVES;3,68284E+13
CLEUSA GAS DISTRIBUIDORA LTDA;02202984000208
CLEUSA GAS DISTRIBUIDORA LTDA;02202984000119
CLEYSSON SERGIO PEREIRA CABRAL;1,23884E+13
CN DISTRIBUIDORA LTDA;2,04553E+13
COMERCIAL ALVES E SANTOS LTDA;2,72274E+13
COMERCIAL AMERICA LTDA;4,25714E+13
COMERCIAL ANJO GAS LTDA;04893845000104
COMERCIAL DE ALIMENTOS PANTALEAO LTDA;02727899000174
COMERCIAL DE GAS 6000 LTDA;1,06131E+13
COMERCIAL DE GAS ALVES EIRELI;3,2551E+13
COMERCIAL DE GAS ARAGUAIA LTDA;3,73926E+13
COMERCIAL DE GAS BELA VISTA LTDA;04820226000190
COMERCIAL DE GAS BURITIS LTDA;2,43447E+13
COMERCIAL DE GAS E AGUA MINERAL GUIA LTDA;1,08087E+13
COMERCIAL DE GAS E AGUA MINERAL MELO LTDA;2,7478E+13
COMERCIAL DE GAS LINDA CHAMA LTDA;00792028000532
COMERCIAL DE GAS LINDA CHAMA LTDA;00792028000370
COMERCIAL DE GAS LINDA CHAMA LTDA;00792028000451
COMERCIAL DE GAS LINDA CHAMA LTDA;00792028000966
COMERCIAL DE GAS LINDA CHAMA LTDA;00792028000109
COMERCIAL DE GAS MARQUES LTDA;3,07142E+13
COMERCIAL DE GAS MORELI LTDA;2,68569E+13
COMERCIAL GAS ALVES DA COSTA LTDA;1,09952E+13
COMERCIAL GOLDEN GAS LTDA;5,1672E+13
COMERCIAL SANTOS EIRELI;3,11059E+13
CONQUISTA DISTRIBUIDORA DE GAS LTDA;4,55567E+13
CONTROLLER COM E DISTRIB DE GLP E AGUA MINERAL LTDA;03971471000135
COOPER GAS BRASIL LTDA;3,11882E+13
CORREA GAS E AGUA LTDA;07957374000149
COSTA DISTRIBUIDORA E TRANSPORTADORA LTDA;5,37954E+13
CREUZA MARIA DE JESUS RIBEIRO E CIA LTDA;06540749000108
CRISTAL GAS EIRELI;07320728000140
C S DE A MENDES LTDA;5,24207E+13
C S NASCIMENTO;2,43654E+13
DA LESTE COMERCIO DE GAS E AGUA LTDA;3,23814E+13
DANIELA A DE OLIVEIRA DEPOSITO DE GAS;5,79243E+13
D E K COMERCIO E DISTRIBUIDORA DE GAS LTDA;1,78863E+13
DENISE CRISTINA FAZULINE ALVES;06695734000119
DEPOSITO DE GAS CENOURINHA EIRELI;4,06753E+13
DEPOSITO DE GAS CONDE DOS ARCOS LTDA;5,2802E+13
DEPOSITO DE GAS MOURA EIRELI;3,45953E+13
DEPOSITO DE GAS NOSSA SENHORA APARECIDA ARUANA LTDA;3,65831E+13
DEPOSITO DE GAS SOUZA E CANDIDO LTDA;2,70712E+13
DEPOSITO GOIAS GAS LTDA;3,4473E+13
DEPOSITO NOSSO GAS LTDA;1,78116E+13
D F NOGUEIRA JUNIOR E CIA LTDA;2,78752E+13
DIAS DE OLIVEIRA E BRITO LTDA;05345932000190
DIAS DE OLIVEIRA E BRITO LTDA;05345932000270
DIAS E CORDEIRO LTDA;3,71067E+13
DISK GAS E AGUA BEIJA FLOR LTDA;07502181000101
DISK GAS E AGUA MINERAL LTDA;3,82164E+13
DISK GAS E AGUA MINERAL LTDA;3,82164E+13
DISTRIBUIDORA ATACADAO DO GAS LTDA;2,4665E+13
DISTRIBUIDORA DE BEBIDAS 3 HSLTDA;07531276000145
DISTRIBUIDORA DE GAS AGUIA DOURADA LTDA;3,48577E+13
DISTRIBUIDORA DE GAS ALVORADA EIRELI;3,51998E+13
DISTRIBUIDORA DE GAS BARRETOS LTDA;5,05497E+13
DISTRIBUIDORA DE GAS FERNANDES LTDA;4,66883E+13
DISTRIBUIDORA DE GAS FORTALEZA LTDA;1,77548E+13
DISTRIBUIDORA DE GAS HP LTDA;2,99578E+13
DISTRIBUIDORA DE GAS JH LTDA;5,61227E+13
DISTRIBUIDORA DE GAS MARTINS EIRELI;2,83439E+13
DISTRIBUIDORA DE GAS NASCIMENTO LTDA;2,76408E+13
DISTRIBUIDORA DE GAS RIBEIRO LTDA;08604488000178
DISTRIBUIDORA DE GAS SILVEIRA E ADORNO LTDA;08267571000107
DISTRIBUIDORA DE GAS TOCANTINS LTDA;03962939000125
DIVINA ETERNA VIEIRA RODRIGUES;03609202000123
D M C SANTOS;2,67204E+13
D N DE OLIVEIRA GAS BOA PRACA;2,40423E+13
DONIZETI JOSE BARBOSA;2,84844E+13
DONIZETI JOSE BARBOSA;2,84844E+13
DOUTOR GAS LTDA;2,72139E+13
DURAGAS MONTEBELENSE LTDA;1,83867E+13
E A DA SILVA EDIGAS;4,70739E+13
E DA S PRATA ZAP GAS;2,68105E+13
EDELZI DE SOUZA COSTA;00099596000129
ED GAS LTDA;4,26155E+13
EDILENE DE OLIVEIRA LTDA;04086105000166
EIRES BARBOSA DE OLIVEIRA TELES;2,86483E+13
ELCIO CARLOS VIEIRA;2,94949E+13
ELDORADO MATERIAIS E GAS LTDA;5,42155E+13
ELENILDO ALMEIDA REIS 80683916149;3,18093E+13
ELIANE DO CARMO SOUZA;01618054000269
ELIANE DO CARMO SOUZA;01618054000188
ELIZETE TEREZINHA DA SILVA LTDA;1,44451E+13
ELR REVENDEDORA DE GAS LTDA;4,48156E+13
ELSON MOREIRA BORGES LTDA;06698032000199
EMPORIO DE BEBIDAS DINIZ LTDA;4,76358E+13
EMPORIO FRANCO LTDA;5,1528E+13
E N BARBOSA ITATIAIA GAS E BEBIDAS LTDA;3,42264E+13
ERICA ALESSANDRA DE SOUZA MENDONCA LTDA;3,7932E+13
ESTRELA GAS LTDA;5,02579E+13
EVANIA ROSA DE GOUVEIA E CIA LTDA;04048767000141
FABIOLA DAS DORES DIAS MELO 07704168614;2,90885E+13
FABIO SILVEIRA DE ASSIS;2,925E+13
FELIPE FREITAS BORGES GAS E AGUA LTDA;2,6984E+13
FIEL DISTRIBUIDORA DE ALIMENTOS LTDA;2,66358E+13
FLAVIA RODRIGUES REZENDE;2,82245E+13
FLAVIO MEDEIROS FERREIRA;4,06319E+13
FONSECA DOS SANTOS E SANTOS LTDA;1,16534E+13
FORT GAS LTDA;1,30086E+13
FRANCISCO DOS S DO NASCIMENTO LTDA;3,96751E+13
F R COMERCIO DE GAS LTDA;2,21614E+13
F R COMERCIO DE GAS LTDA;2,21614E+13
FRED GAS LTDA;4,7123E+13
GABRIELA AGUIAR MORAIS SOUSA LTDA;4,50022E+13
GARANTIA COMERCIO E PARTICIPACOES LTDA;05945825000100
GARANTIA COMERCIO E PARTICIPACOES LTDA;05945825000364
GAROTAO II COMERCIO DE GAS LTDA;2,34435E+13
GAS AGAPE LTDA;2,37511E+13
GAS AVENIDA E AGUA LTDA;3,53331E+13
GAS CANA BRAVA LTDA;07764549000100
GAS DO PRIMO EIRELI;1,1363E+13
GAS E AGUA LOS HERMANOS LTDA;5,2624E+13
GAS E BEBIDAS CONFIANCA LTDA;2,62321E+13
GAS E DISTRIBUIDORA DOIS IRMAOS EIRELI;2,71499E+13
GAS FAMILIA LTDA;4,69479E+13
GAS JARDIM LTDA;5,27441E+13
GAS JK LTDA;08634992000110
GAS MINACU LTDA;5,95311E+13
GASMIX GAS E AGUA LTDA;5,28902E+13
GAS MOREIRA MUNDIAL LTDA;3,31297E+13
GAS PONTE ALTA LTDA;2,9155E+13
GAS REAL LTDA;3,31772E+13
GAS RENASCER COMERCIO E SERVICOS LTDA;2,88206E+13
GAS RIBEIRO LTDA;5,42519E+13
GAS RIO VERDE COMERCIO E DISTRIBUIDORA LTDA;5,21942E+13
GAS SANTA LUZIA LTDA;3,30782E+13
GAS SS LTDA;1,10107E+13
GAVA COMERCIO DE GAS LTDA;01855877000399
GAVA COMERCIO DE GAS LTDA;01855877000127
GAVA COMERCIO DE GAS LTDA;01855877000470
GAVA GAS LTDA;1,35928E+13
G B DE SOUZA;2,60104E+13
G DA MATA ESCOBAR COM VAREJISTA EM GERAL E GAS GLP;3,05306E+13
GEFTANY CALISTO SILVA;03536156000180
G E G COM E TRANSPORTE DE GAS LIQ DE PETROLEO ITUMBIARA LTDA;07580594000104
GIULLA DE ALMEIDA LIMA AZEVEDO;2,87324E+13
GLP OLIVEIRA LTDA;4,33466E+13
GMB GAS LTDA;3,80018E+13
GOIAS GAS RR LTDA;2,21498E+13
GRG DISTRIBUIDORA DE GAS E AGUA LTDA;2,35416E+13
GS GERMANO COMERCIO DE ALIMENTOS LTDA;5,09824E+13
GUIA GAS LTDA;1,15083E+13
GUSTAVO CARLOS DA SILVA E CIA LTDA;3,01468E+13
HAYANNY LIRIO SABATH;2,03063E+13
HIGO DOURADO DO NASCIMENTO;3,07996E+13
HIPER GAS COMERCIO EIRELI;2,79574E+13
HL GAS COMERCIAL LTDA;3,09672E+13
H M SOARES LTDA;2,16105E+13
HOOLLYGAS DISTRIBUIDORA DE GLP LTDA;1,70937E+13
IDELSO GONCALVES DA SILVA LTDA;02630993000100
IDELSO GONCALVES DA SILVA LTDA;02630993000615
IDELSO GONCALVES DA SILVA LTDA;02630993001000
IDELSO GONCALVES DA SILVA LTDA;02630993000887
IDELSO GONCALVES DA SILVA LTDA;02630993000704
IMPERIO COMERCIO DE GAS EIRELI;3,74219E+13
IMPERIO GAS E AGUA LTDA;3,72864E+13
IMPERIO GAS E AGUA MINERAL LTDA;3,17392E+13
IMPERIO GAS LTDA;2,86255E+13
INACIO DE ARAUJO COMERCIO E INSTALACOES DE GAS LTDA;2,51728E+13
INDEPENDENCIA GAS LTDA;1,6658E+13
INDEPENDENCIA GAS LTDA;1,6658E+13
IPO REVENDEDORA DE GAS LTDA;2,98357E+13
IRIS GAS ALTO PARAISO LTDA;04522372000139
IRMAOS SILVA COMERCIAL DE GAS E BEBIDAS LTDA.;04826440000153
ISAQUE CORREA DOS REIS;3,28785E+13
IZAIAS ERMELINO DA SILVA;2,35187E+13
J A COMERCIO DE GAS LTDA;2,33768E+13
J A J SOARES DA SILVA LTDA;2,45177E+13
JARAGAS COMERCIO DE AGUA E GAS LTDA;5,28139E+13
J B DE SOUSA JUNINHO GAS;5,07341E+13
JC DISTRIBUICAO E SERVICOS LTDA;3,84474E+13
JEANE CUNHA PONTES DE ARAUJO GAS ME;1,45209E+13
J E V GAS LTDA;5,72118E+13
JF FERREIRA PRIMOS GAS LTDA;2,52778E+13
J K CEZARIO BOAVENTURA GONCALVES LTDA;3,46972E+13
J L DA SILVA TAVARES SUPER MASTER LTDA;3,07634E+13
JM DISTRIBUIDORA DE GAS LTDA;01978009000134
J N B COMERCIO DE SECOS E MOLHADOS LTDA;05607751000194
JOANA DARC FERNANDES DA SILVA;06942979000101
JOAO BATISTA VILLAR;07139028000153
JOAO DE SOUZA FERREIRA;2,74136E+13
JOAO PAULO RULKA E CIA LTDA;2,7244E+13
JOCIELE FAUSTINO DE MATOS 00632926104;2,17564E+13
JOSE AUGUSTO DA CUNHA NETO;05669045000177
JOSE CESARIO DE SOUSA;3,39521E+13
JOSE DORNELO GERMANO FILHO MERCADO;06375882000156
JOSE XAVIER DOS SANTOS;4,17945E+13
JOSINEI PEREIRA DA SILVA;3,42542E+13
JOVERSON BARBARESCO TAVARES;2,25266E+13
JP BEBIDAS E GAS LTDA;5,31007E+13
J P DE SOUZA GAS E BEBIDAS;1,36187E+13
JUAREZ FERREIRA DOS SANTOS;03611069000140
JULIANE NERES DE BRITO;05426447000140
JULIGAS COMERCIO VAREJISTA DE GAS E AGUA MINERAL LTDA;3,16691E+13
JULIO SANTOS MENEZES;2,67603E+13
JURANDY FRANCISCO DE SOUZA;1,92856E+13
J VANESSA DOS SANTOS DISTRIBUIDORA DE GAS E AGUA;2,96189E+13
KARLOS DONIZETE JESUS SILVERIO;2,45244E+13
KAYKY DANTAS DISTRIBUIDORA LTDA;3,26704E+13
K D J SILVERIO LTDA;2,67351E+13
K E D COMERCIO E DISTRIBUIDORA DE GAS LTDA;2,51236E+13
KI GAS LTDA;1,06337E+13
KLEBER VINICIUS FERREIRA DOS STO LTDA;3,63177E+13
LAMARTINE GAS LTDA;1,1325E+13
L A XAVIER COMERCIO DE GAS LTDA;2,95653E+13
L B FERNANDES;2,00699E+13
LD COMERCIO DE GAS LTDA;4,67368E+13
LEO GAS COMERCIO LTDA;5,36677E+13
LILIA HENRIQUE FERREIRA;3,41448E+13
LILIAN DISTRIBUIDORA DE AGUA E GAS LTDA;1,04163E+13
LINDA CHAMA GAS LTDA;5,09248E+13
LINDOMAR PEREIRA BESSA;00390455000160
LIOMAR DE OLIVEIRA REIS E CIA LTDA;1,84106E+13
L L DA SILVA OLIVEIRA E CIA LTDA;03530737000104
LMFS COMERCIO E TRANSPORTE LTDA;4,79947E+13
LR PRESTADORA DE SERVICOS LTDA;3,26049E+13
LUCIANO GONCALVES CIA LTDA;02636235000108
LUCIANO LOPES DE ARRUDA;07984022000182
LUCIMAR BARROSO MATIAS GAS LTDA;2,33722E+13
LUIS DONIZETI GAVA E CIA LTDA;8,68051E+13
LUIZ CARLOS DE ARAUJO MELO E CIA LTDA;06237232000144
